source,target,value,mapping,assetgroep
ad4.begroeidTerreindeel_v (3887),ad5.moeras_v (6),1,FYSIEKVOORKOMEN_moeras,groen
ad4.weginrichtingselement_l (8250),ad5.molgoot_l (696),1,TYPESPEC_Molgoot,wegen
ad4.scheidingLand_l (12395),ad5.muur_l (764),1,BGTPLUSTYPE_muur,kunstwerken
ad4.scheiding_v (5023),ad5.muur_v (3846),1,BGTPLUSTYPE_muur,kunstwerken
ad4.scheiding_v (5023),ad5.muur_v (3846),1,RELATIEVEHOOGTELIGGING_0_1_2,kunstwerken
ad4.kunstwerkdeel_v (3773),ad5.muur_v (3846),1,BGTPLUSTYPE_niet-bgt_keermuur,kunstwerken
ad4.kunstwerkdeel_v (3773),ad5.muur_v (3846),1,RELATIEVEHOOGTELIGGING_0_1_2,kunstwerken
ad4.elementOevervak_tbl (15516),ad5.neninspectie_tbl (77001),1,x_x,kunstwerken
ad4.bouwdeelGeluidsscherm_tbl (2050),ad5.neninspectie_tbl (77001),1,x_x,kunstwerken
ad4.bouwdeelOevervak_tbl (21424),ad5.neninspectie_tbl (77001),1,x_x,kunstwerken
