source,target,value,mapping,assetgroep
ad4.leidingelement_p (26187),ad5.rioolafsluiter_p (8),1,TYPESPEC_cleanOut,wegen
ad4.leidingelement_p (26187),ad5.rioolput_p (4821),1,TYPESPEC_Inspectieput,wegen
ad4.put_p (1278),ad5.rioolput_p (4821),1,BGTPLUSTYPE_niet-bgt_inspectie- _ rioolput,wegen
ad4.straatmeubilair_p (6902),ad5.rookpaal_p (3),1,TYPESPEC_Peukenpaal,wegen
ad4.weginrichtingselement_v (48),ad5.rooster_v (19),1,TYPESPEC_Wildrooster_Rooster,wegen
ad4.bordScheepvaart_p (1671),ad5.scheepvaartbord_p (3460),1,TYPESPEC_BPR bord_Route verwijsbord,vaarwegen
ad4.paalAfbakening_p (34233),ad5.scheepvaartbord_p (3460),1,TYPESPEC_hectometerbord_scheepvaart,vaarwegen
ad4.paalDraagconstructie_p (50708),ad5.sirene_p (1),1,BGTPLUSTYPE_niet-bgt_sirene,elektrotechniek
ad4.kast_p (2248),ad5.slagboominstallatie_p (362),1,TYPESPEC_Slagboomkast,elektrotechniek
ad4.straatmeubilair_p (6902),ad5.slagboominstallatie_p (362),1,TYPESPEC_Slagboom,elektrotechniek
ad4.overbruggingsdeel_v (2944),ad5.sloof_v (49),1,TYPEOVERBRUGGINGSDEEL_sloof,kunstwerken
ad4.kunstwerk_p (869),ad5.sluiscomplex_p (15),1,NENBEHEEROBJECT_Schutsluizen,kunstwerken
ad4.kunstwerkdeel_v (3794),ad5.sluisdeur_v (58),1,BGTPLUSTYPE_sluis,kunstwerken
ad4.kunstwerkdeel_v (3794),ad5.steiger_v (1696),1,BGTPLUSTYPE_steiger,vaarwegen
ad4.begroeidTerreindeelPlantvak_v (4558),ad5.struiken_v (1084),1,FYSIEKVOORKOMEN_groenvoorziening_bodembedekkers_groenvoorziening_heesters_groenvoorziening_struikrozen_struiken,groen
ad4.ondersteunendWegdeel_v (34770),ad5.struiken_v (1084),1,FYSIEKVOORKOMEN_groenvoorziening_bodembedekkers_groenvoorziening_heesters_groenvoorziening_struikrozen,groen
ad4.kunstwerkdeel_l (2534),ad5.stuw_l (296),1,BGTPLUSTYPE_stuw,kunstwerken
